AID,CID,InChIKey,SMILES,GeneID,Symbol,UniProtKB
743219,7896,PUPZLCDOIYMWBV-UHFFFAOYSA-N,CC(CCO)O,4780,NFE2L2,Q16236
1671199,4837,GLUUGHFHXGJENI-UHFFFAOYSA-N,C1CNCCN1,1544,CYP1A2,P05177
624297,33528,JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCN1C(=O)C=CS1,51053,GMNN,O75496
238687,768,LELOWRISYMNNSU-UHFFFAOYSA-N,C#N,759,CA1,P00915
1394,5455,KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,4193,MDM2,Q00987
1346982,2347,IRIAEXORFWYRCZ-UHFFFAOYSA-N,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,8856,NR1I2,O75469
1645842,11767,LSIKFJXEYJIZNB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-],1559,CYP2C9,P11712
1259383,8785,QUKGYYKBILRGFE-UHFFFAOYSA-N,CC(=O)OCC1=CC=CC=C1,2099,ESR1,P03372
1671197,6838,UBUCNCOMADRQHX-UHFFFAOYSA-N,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,1557,CYP2C19,P33261
304079,938,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O,338442,HCAR2,Q8TDS4
1671200,8607,HKIOYBQGHSTUDB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,3757,KCNH2,Q12809
588544,31236,QCDWFXQBSFUVSP-UHFFFAOYSA-N,C1=CC=C(C=C1)OCCO,6256,RXRA,P19793
1110682,727,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,2562,GABRB3,P28472
1159531,12968,GUVLYNGULCJVDO-UHFFFAOYSA-N,CCCN(CCC)C(=O)SCC,6256,RXRA,P19793
743036,8373,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,CC1=CC=CC=C1C(=O)O,367,AR,P10275
686979,33528,JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCN1C(=O)C=CS1,55775,TDP1,Q9NUW8
1671201,24773,BLXVTZPGEOGTGG-UHFFFAOYSA-N,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,1576,CYP3A4,P08684
1224849,785,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,C1=CC(=CC=C1O)O,2101,ESRRA,P11474
1671197,8190,WFSMVVDJSNMRAR-UHFFFAOYSA-N,CCOCCOCCOCCO,1557,CYP2C19,P33261
743083,17520,DMSMPAJRVJJAGA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)NS2,1588,CYP19A1,P11511
624330,7111,HFACYLZERDEVSX-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,29127,RACGAP1,Q9H0H5
720719,2336,FMMWHPNWAFZXNH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,2908,NR3C1,P04150
686978,9215,DZBUGLKDJFMEHC-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,55775,TDP1,Q9NUW8
899,180933,UORKIKBNUWJNJF-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C(=O)C=CC4=O,1557,CYP2C19,P33261
1346982,1057,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)O,8856,NR1I2,O75469
1346978,8117,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,836,CASP3,P42574
743079,24730,SLINHMUFWFWBMU-UHFFFAOYSA-N,CC(CN(CC(C)O)CC(C)O)O,2099,ESR1,P03372
651802,2087,QBYJBZPUGVGKQQ-UHFFFAOYSA-N,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,6097,RORC,P51449
1384566,14985,GVJHHUAWPYXKBD-IEOSBIPESA-N,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,2950,GSTP1,P09211
1639697,12025,HNJBEVLQSNELDL-UHFFFAOYSA-N,C1CC(=O)NC1,81285,OR51E2,Q9H255
743219,679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,4780,NFE2L2,Q16236
1030,15752,KWMDHCLJYMVBNS-UHFFFAOYSA-N,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],216,ALDH1A1,P00352
1259243,8606,LDVVMCZRFWMZSG-UHFFFAOYSA-N,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,367,AR,P10275
651741,15752,KWMDHCLJYMVBNS-UHFFFAOYSA-N,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],4780,NFE2L2,Q16236
462279,289,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C1=CC=C(C(=C1)O)O,771,CA12,O43570
39064,42128,OGBQILNBLMPPDP-UHFFFAOYSA-N,C1=C2C3=CC(=C(C(=C3OC2=CC(=C1Cl)Cl)Cl)Cl)Cl,196,AHR,P35869
1259243,10800,ZXVONLUNISGICL-UHFFFAOYSA-N,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],367,AR,P10275
1346859,12025,HNJBEVLQSNELDL-UHFFFAOYSA-N,C1CC(=O)NC1,4088,SMAD3,P84022
588537,7017,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=CC=C2O,5468,PPARG,P37231
743079,7020,JNELGWHKGNBSMD-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,2099,ESR1,P03372
743219,3039,OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,4780,NFE2L2,Q16236
743079,1057,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)O,2099,ESR1,P03372
743078,7543,IBOFVQJTBBUKMU-UHFFFAOYSA-N,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,2099,ESR1,P03372
1259388,8413,NUIURNJTPRWVAP-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,9734,HDAC9,Q9UKV0
1224848,7543,IBOFVQJTBBUKMU-UHFFFAOYSA-N,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,2101,ESRRA,P11474
1709549,5997,HVYWMOMLDIMFJA-DPAQBDIFSA-N,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,6097,RORC,P51449
743140,5284469,OEJNXTAZZBRGDN-UHFFFAOYSA-N,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,5468,PPARG,P37231
1671199,2879,IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O,1544,CYP1A2,P05177
1447442,2969,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(=O)O,53831,GPR84,Q9NQS5
743042,5455,KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,367,AR,P10275
743091,15625,HGUFODBRKLSHSI-UHFFFAOYSA-N,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,2099,ESR1,P03372
1224839,6129,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)OC1=CC=CC2=CC=CC=C21,9970,NR1I3,Q14994
496920,1103,PFNFFQXMRSDOHW-UHFFFAOYSA-N,C(CCNCCCN)CNCCCN,766,CA7,P43166
1159531,1057,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)O,6256,RXRA,P19793
743122,10757,IMACFCSSMIZSPP-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)CCl,196,AHR,P35869
