CanonicalSMILES,InChIKey,UniProtKB
CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,PEASPLKKXBYDKL-FXEVSJAOSA-N,P05181
C1=CC=C2C(=C1)N=NN2N,JCXKHYLLVKZPKE-UHFFFAOYSA-N,P05181
CN(CC1=CC=CC=C1)N=O,NGXUJKBJBFLCAR-UHFFFAOYSA-N,P05181
C=CF,XUCNUKMRBVNAPB-UHFFFAOYSA-N,P05181
C=CC1CCC=CC1,BBDKZWKEPDTENS-UHFFFAOYSA-N,P05181
CCC(CO)NCCNC(CC)CO,AEUTYOVWOVBAKS-UWVGGRQHSA-N,P05181
C(=CC=O)C=O,JGEMYUOFGVHXKV-OWOJBTEDSA-N,P05181
CC(Cl)Cl,SCYULBFZEHDVBN-UHFFFAOYSA-N,P05181
CCCSCCC,ZERULLAPCVRMCO-UHFFFAOYSA-N,P05181
CCCSSCCC,ALVPFGSHPUPROW-UHFFFAOYSA-N,P05181
CC1=CC=CC=C1C,CTQNGGLPUBDAKN-UHFFFAOYSA-N,P05181
CC1=C(C(=CC=C1)C)N,UFFBMTHBGFGIHF-UHFFFAOYSA-N,P05181
CC1=CC=C(C=C1)C2=CC=C(C=C2)C,RZTDESRVPFKCBH-UHFFFAOYSA-N,P05181
C1CCN(C1)N=O,WNYADZVDBIBLJJ-UHFFFAOYSA-N,P05181
C1CCN(CC1)N=O,UWSDONTXWQOZFN-UHFFFAOYSA-N,P05181
C(Cl)(Cl)Br,FMWLUWPQPKEARP-UHFFFAOYSA-N,P05181
C(C(F)(F)F)(Cl)Cl,OHMHBGPWCHTMQE-UHFFFAOYSA-N,P05181
CCOC1=CC2=C(C=C1)C(=CC(=O)O2)C(F)(F)F,OLHOIERZAZMHGK-UHFFFAOYSA-N,P05181
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl)F,UISUNVFOGSJSKD-UHFFFAOYSA-N,P05181
CCN(CC)C(=O)C1=CC=CC(=C1)CO,FRZJZRVZZNTMAW-UHFFFAOYSA-N,P05181
CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,QVYRGXJJSLMXQH-UHFFFAOYSA-N,P05181
CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC,SNTQPLDRUZOSDP-UHFFFAOYSA-N,P05181
CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-],ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,P05181
CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,QYMMJNLHFKGANY-UHFFFAOYSA-N,P05181
CCCN(CCC)N=O,YLKFDHTUAUWZPQ-UHFFFAOYSA-N,P05181
NN=O,XKLJHFLUAHKGGU-UHFFFAOYSA-N,P05181
CCCCN(CCCC)N=O,YGJHZCLPZAZIHH-UHFFFAOYSA-N,P05181
CCOC(C)(C)C,NUMQCACRALPSHD-UHFFFAOYSA-N,P05181
CC1=CC(=CC=C1)C=O,OVWYEQOVUDKZNU-UHFFFAOYSA-N,P05181
CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,P05181
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,QZYNWJQFTJXIRN-UHFFFAOYSA-N,P05181
COC1=CC=C(C=C1)C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl,BUZUQNXGKRJIJT-UHFFFAOYSA-N,P05181
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,MRQIXHXHHPWVIL-UHFFFAOYSA-N,P05181
C1=CC=C2C(C(C=CC2=C1)O)O,QPUHWUSUBHNZCG-UWVGGRQHSA-N,P05181
C1C(C1N)C2=CC=CC=C2,AELCINSCMGFISI-DTWKUNHWSA-N,P05181
C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,SDDLEVPIDBLVHC-UHFFFAOYSA-N,P05181
CC(=O)OC12C3C(CC(C3OC(=O)C4=CC=CC=C4)(C(C1O)OC)O)C56C(CCC7(C5C(C2C6N(C7)C)OC)COC)OC,FIDOCHXHMJHKRW-VHQVDBNASA-N,P05181
C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O,ZFVMWEVVKGLCIJ-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,PXKLMJQFEQBVLD-UHFFFAOYSA-N,P05181
CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C,CTSPAMFJBXKSOY-UHFFFAOYSA-N,P05181
C1=CC=C(C=C1)C=CC(=O)O,WBYWAXJHAXSJNI-VOTSOKGWSA-N,P05181
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,KLBQZWRITKRQQV-UHFFFAOYSA-N,P05181
CC(=O)O.CC(=O)O.C1CCC(CC1)N.N.Cl[Pt]Cl,TWEQNPPRXJRHHM-UHFFFAOYSA-L,P05181
C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,NAUWTFJOPJWYOT-UHFFFAOYSA-N,P05181
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,QXKHYNVANLEOEG-UHFFFAOYSA-N,P05181
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,P05181
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,LOUPRKONTZGTKE-LHHVKLHASA-N,P05181
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,P05181
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,HCYAFALTSJYZDH-UHFFFAOYSA-N,P05181
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,YZXBAPSDXZZRGB-DOFZRALJSA-N,P05181
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,MBMBGCFOFBJSGT-KUBAVDMBSA-N,P05181
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,JAZBEHYOTPTENJ-JLNKQSITSA-N,P05181
CCC=CCC=CCC=CCCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,P05181
CCCCCC=CCC=CCCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,P05181
C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,AEDDIBAIWPIIBD-ZJKJAXBQSA-N,P05181
CC1=C(N=CN1)CSCCNC(=NC)NC#N,AQIXAKUUQRKLND-UHFFFAOYSA-N,P05181
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,SUBDBMMJDZJVOS-UHFFFAOYSA-N,P05181
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,CXOFVDLJLONNDW-UHFFFAOYSA-N,P05181
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,PYZRQGJRPPTADH-UHFFFAOYSA-N,P05181
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,P05181
CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,P05181
CC1=C(SSC1=S)C2=NC=CN=C2,CKNAQFVBEHDJQV-UHFFFAOYSA-N,P05181
C(=CCl)Cl,KFUSEUYYWQURPO-UHFFFAOYSA-N,P05181
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,QGHREAKMXXNCOA-UHFFFAOYSA-N,P05181
CC(=O)C=CC1=CC=CC=C1,BWHOZHOGCMHOBV-BQYQJAHWSA-N,P05181
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,BBNQQADTFFCFGB-UHFFFAOYSA-N,P05181
C1=CC=C2C(=C1)C3=C(N2C4=CC=C(C=C4)N)C=NC=C3,CKJBUSARXRFUDR-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1C=CC2=C3C(C(OC3=CC(=C2)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O,FQWLMRXWKZGLFI-YVYUXZJTSA-N,P05181
C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,AIFRHYZBTHREPW-UHFFFAOYSA-N,P05181
CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,P05181
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,INDBQLZJXZLFIT-UHFFFAOYSA-N,P05181
CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O,MOLPUWBMSBJXER-YDGSQGCISA-N,P05181
COC1=CC=CC=C1[N+](=O)[O-],CFBYEGUGFPZCNF-UHFFFAOYSA-N,P05181
CC(=O)C,CSCPPACGZOOCGX-UHFFFAOYSA-N,P05181
C1=CC2=C(C=C1Cl)NC(=O)O2,TZFWDZFKRBELIQ-UHFFFAOYSA-N,P05181
C1=CC=C(C(=C1)Cl)Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,P05181
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,P05181
CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,IBAJNOZMACNWJD-HVUPOBLPSA-N,P05181
CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C,KGQZGCIVHYLPBH-UHFFFAOYSA-N,P05181
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,RGCKGOZRHPZPFP-UHFFFAOYSA-N,P05181
CC1=CC(=O)OC2=C1C=CC(=C2)O,HSHNITRMYYLLCV-UHFFFAOYSA-N,P05181
C1=CC2=C(C=C1O)OC(=O)C=C2C(F)(F)F,CCKWMCUOHJAVOL-UHFFFAOYSA-N,P05181
CC(=CCCC(=CCCC(=CCO)C)C)C,CRDAMVZIKSXKFV-YFVJMOTDSA-N,P05181
C1=CN=CC=C1C(=O)NN,QRXWMOHMRWLFEY-UHFFFAOYSA-N,P05181
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,JYGXADMDTFJGBT-VWUMJDOOSA-N,P05181
CCOC1=CC=C(C=C1)NC(=O)C,CPJSUEIXXCENMM-UHFFFAOYSA-N,P05181
C1CCC(CC1)O,HPXRVTGHNJAIIH-UHFFFAOYSA-N,P05181
CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,P05181
C(C(Cl)(Cl)Cl)(O)O,RNFNDJAIBTYOQL-UHFFFAOYSA-N,P05181
COC(C(Cl)Cl)(F)F,RFKMCNOHBTXSMU-UHFFFAOYSA-N,P05181
C(OC(C(F)(F)F)C(F)(F)F)F,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,P05181
C(=C(Cl)Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N,P05181
CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,QXJKBPAVAHBARF-UHFFFAOYSA-N,P05181
C1=CN=CN1,RAXXELZNTBOGNW-UHFFFAOYSA-N,P05181
C1=CN=C(C=C1Cl)N,RQMWVVBHJMUJNZ-UHFFFAOYSA-N,P05181
C1=CN=CC=N1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,P05181
C(=C(Cl)Cl)(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,P05181
C(C(CO)O)O,PEDCQBHIVMGVHV-UHFFFAOYSA-N,P05181
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,IAOZJIPTCAWIRG-QWRGUYRKSA-N,P05181
CC(=O)N=C1C=CC(=O)C=C1,URNSECGXFRDEDC-UHFFFAOYSA-N,P05181
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,PLDUPXSUYLZYBN-UHFFFAOYSA-N,P05181
C(CO)N(CCO)C(=S)S,PCBLZWZCGNKODY-UHFFFAOYSA-N,P05181
C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,P05181
C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,XDROKJSWHURZGO-UHFFFAOYSA-N,P05181
CCC1(CC(=O)NC1=O)C,HAPOVYFOVVWLRS-UHFFFAOYSA-N,P05181
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,DDLIGBOFAVUZHB-UHFFFAOYSA-N,P05181
CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,MPDGHEJMBKOTSU-YKLVYJNSSA-N,P05181
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,XJLXINKUBYWONI-NNYOXOHSSA-N,P05181
CNC=O,ATHHXGZTWNVVOU-UHFFFAOYSA-N,P05181
C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,GVYLCNUFSHDAAW-UHFFFAOYSA-N,P05181
CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,MKXZASYAUGDDCJ-NJAFHUGGSA-N,P05181
CCN(CC)C(=S)N,CNLHIRFQKMVKPX-UHFFFAOYSA-N,P05181
C=C,VGGSQFUCUMXWEO-UHFFFAOYSA-N,P05181
C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,P05181
C=CCS(=O)(=O)CC=C,NZEDMAWEJPYWCD-UHFFFAOYSA-N,P05181
CC1=CNN=C1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,P05181
C1=CC=C2C(=C1)C3=CC(=O)C4=CC=CC5=C4C3=C(C2=O)C=C5,HSJQJGAVYCLWJA-UHFFFAOYSA-N,Q96SQ9
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,Q96SQ9
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N,Q96SQ9
O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,Q96SQ9
C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=CC(C5O)O)C=C2,YDXRLMMGARHIIC-UHFFFAOYSA-N,Q96SQ9
OO,MHAJPDPJQMAIIY-UHFFFAOYSA-N,Q96SQ9
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,Q96SQ9
C1=CC=C2C=C(C=CC2=C1)N,JBIJLHTVPXGSAM-UHFFFAOYSA-N,Q96SQ9
C1C2=CC=CC=C2C3=C1C=C(C=C3)N,CFRFHWQYWJMEJN-UHFFFAOYSA-N,Q96SQ9
CC1=C(C=CC(=C1)C2=NC3=C(S2)C=CC(=C3)F)N,IFWLHIIUGSEKKE-UHFFFAOYSA-N,Q96SQ9
C1CC2=C(C=C1)C=C3C=CC4=C5C3=C2C=CC5=CC=C4,CRWVCBYUFDAUHN-UHFFFAOYSA-N,Q96SQ9
C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C(=C(C(=C5O)O)O)O)C=C2,DXQZVENCJJJMDK-UHFFFAOYSA-N,Q96SQ9
C1=CC=C2C(=C1)C3=CC=C4C(=O)C=CC5=C4C3=C(C2=O)C=C5,OXWHZARNAGLRFL-UHFFFAOYSA-N,Q96SQ9
C1=CC=C2C(=C1)C3=C4C(=CC=C5C4=C(C=C3)C=CC5=O)C2=O,MYRYNZSMCVOJHZ-UHFFFAOYSA-N,Q96SQ9
CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C,DOMWKUIIPQCAJU-LJHIYBGHSA-N,P24462
CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,QJJXYPPXXYFBGM-LFZNUXCKSA-N,P24462
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,UEJJHQNACJXSKW-UHFFFAOYSA-N,P24462
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N,P24462
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,P24462
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,P24462
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,P24462
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C=NOCC4=CC(=C(C=C4)Cl)Cl)Cl,ZQWBOKJVVYNKTL-AUEPDCJTSA-N,P24462
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,SMYMJHWAQXWPDB-UHFFFAOYSA-N,P24462
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,FMGSKLZLMKYGDP-USOAJAOKSA-N,P24462
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,IDBPHNDTYPBSNI-UHFFFAOYSA-N,P24462
C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)O,LJBQRRQTZUJWRC-UHFFFAOYSA-N,P24462
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,P24462
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)O)C,CZWCKYRVOZZJNM-USOAJAOKSA-N,P24462
CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,PNVJTZOFSHSLTO-UHFFFAOYSA-N,P24462
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,NZCRJKRKKOLAOJ-XRCRFVBUSA-N,P22680
CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,IIBYAHWJQTYFKB-UHFFFAOYSA-N,P22680
C(C(C(CS)O)O)S,VHJLVAABSRFDPM-UHFFFAOYSA-N,P22680
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,P22680
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,P22680
[Zn],HCHKCACWOHOZIP-UHFFFAOYSA-N,P22680
[Mn],PWHULOQIROXLJO-UHFFFAOYSA-N,P22680
[Hg],QSHDDOUJBYECFT-UHFFFAOYSA-N,P22680
CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,BPYKTIZUTYGOLE-IFADSCNNSA-N,P22680
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,MIJYXULNPSFWEK-GTOFXWBISA-N,P22680
CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,SMEROWZSTRWXGI-HVATVPOCSA-N,P22680
CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,KXGVEGMKQFWNSR-LLQZFEROSA-N,P22680
CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,LXMSZDCAJNLERA-ZHYRCANASA-N,P22680
[Pb],WABPQHHGFIMREM-UHFFFAOYSA-N,P22680
[Cu],RYGMFSIKBFXOCR-UHFFFAOYSA-N,P22680
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(=O)C=C4C3(CCC(C4)O)C)C,YIKKMWSQVKJCOP-ABXCMAEBSA-N,P22680
CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C,OYXZMSRRJOYLLO-RVOWOUOISA-N,P22680
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,P22680
C(CS)O,DGVVWUTYPXICAM-UHFFFAOYSA-N,P22680
CC1(C2CC(C(O1)(C(C2)O)C)O)C,JSNQSLSBBZFGBM-UHFFFAOYSA-N,P22680
C(CS)N,UFULAYFCSOUIOV-UHFFFAOYSA-N,P22680
CC(C)C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O,IOWMKBFJCNLRTC-XWXSNNQWSA-N,P22680
CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,INBGSXNNRGWLJU-ZHHJOTBYSA-N,P22680
CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO,FYHRJWMENCALJY-YSQMORBQSA-N,P22680
CC(C)CCCC(C)(C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O,MCKLJFJEQRYRQT-APGJSSKUSA-N,P22680
CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,UCTLRSWJYQTBFZ-DDPQNLDTSA-N,P22680
CC(CCC(=O)NCCC[N+]1(CC[N+](CC1)(C)C)C)C2CCC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C.[I-].[I-],APFOLQPXZRHTLE-YGSHSALASA-M,P22680
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[U],KUKDDTFBSTXDTC-UHFFFAOYSA-N,P22680
C1CC2CCC3C4CCC(CC4CCC3C2C1)O,FPXSXMFOYWRHDX-UHFFFAOYSA-N,P22680
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,BHQCQFFYRZLCQQ-LBQHQRRMSA-N,P22680
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,BFPYWIDHMRZLRN-SLHNCBLASA-N,P22680
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,ORNBQBCIOKFOEO-QGVNFLHTSA-N,P22680
C1=CC(=CC=C1C(=O)O)[Hg]Cl,YFZOUMNUDGGHIW-UHFFFAOYSA-M,P22680
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,NZCRJKRKKOLAOJ-XRCRFVBUSA-N,O75881
CCCCCCCCCCCCCC(=O)OC1C(C2(C(C=C(CC3(C2C=C(C3=O)C)O)CO)C4C1(C4(C)C)OC(=O)C)O)C,PHEDXBVPIONUQT-RGYGYFBISA-N,O75881
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,NVKAWKQGWWIWPM-ABEVXSGRSA-N,O75881
C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,IVOMOUWHDPKRLL-KQYNXXCUSA-N,O75881
CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,INBGSXNNRGWLJU-ZHHJOTBYSA-N,O75881
CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO,FYHRJWMENCALJY-YSQMORBQSA-N,O75881
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,FMGSKLZLMKYGDP-USOAJAOKSA-N,O75881
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,AWDRATDZQPNJFN-VAYUFCLWSA-N,O75881
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,WBWWGRHZICKQGZ-HZAMXZRMSA-N,O75881
CCC(C)CC(C)C=CC(=O)OC1C(C2(OC(C(C1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCC(=C)C(C(C)CC3=CC=CC=C3)OC(=O)C)O,DFKDOZMCHOGOBR-NCSQYGPNSA-N,O75881
CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,RXZBMPWDPOLZGW-XMRMVWPWSA-N,P20813
CC1=CC2=C(CC3C4C2(CCCC4)CCN3C)C=C1,KBEZZLAAKIIPFK-NJAFHUGGSA-N,P20813
CC(=CCCC(=CC=O)C)C,WTEVQBCEXWBHNA-JXMROGBWSA-N,P20813
CC(=CCCC(=CCO)C)C,GLZPCOQZEFWAFX-JXMROGBWSA-N,P20813
CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,P20813
C1CN1P(=S)(N2CC2)N3CC3,FOCVUCIESVLUNU-UHFFFAOYSA-N,P20813
