CanonicalSMILES,InChIKey,UniProtKB
CCCCCCCCCCCCCC(=O)OC1C(C2(C(C=C(CC3(C2C=C(C3=O)C)O)CO)C4C1(C4(C)C)OC(=O)C)O)C,PHEDXBVPIONUQT-RGYGYFBISA-N,P05181
CN1CCCC1C2=CN=CC=C2,SNICXCGAKADSCV-JTQLQIEISA-N,P05181
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,UREBDLICKHMUKA-CXSFZGCWSA-N,P05181
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,VOXZDWNPVJITMN-ZBRFXRBCSA-N,P05181
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,RJKFOVLPORLFTN-LEKSSAKUSA-N,P05181
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,FQZYTYWMLGAPFJ-OQKDUQJOSA-K,P05181
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N,P05181
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,P05181
Cl[Cd]Cl,YKYOUMDCQGMQQO-UHFFFAOYSA-L,P05181
[O-][As]=O.[Na+],PTLRDCMBXHILCL-UHFFFAOYSA-M,P05181
[Zn],HCHKCACWOHOZIP-UHFFFAOYSA-N,P05181
CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,P05181
C(Cl)(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,P05181
CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,P05181
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,INFDPOAKFNIJBF-UHFFFAOYSA-N,P05181
CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC,CJGYSWNGNKCJSB-YVLZZHOMSA-N,P05181
[O-]S(=O)(=O)[O-].[Zn+2],NWONKYPBYAMBJT-UHFFFAOYSA-L,P05181
[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N,P05181
