PubchemCTD,CID,CanonicalSMILES,InChIKey
C002769,5281544,CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC(=C(C=C3)O)O,RFWGABANNQMHMZ-ZCHJGGQASA-N
C063449,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,MWLSOWXNZPKENC-UHFFFAOYSA-N
D004917,12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N
D010653,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,VYMDGNCVAMGZFE-UHFFFAOYSA-N
D015474,5282379,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-XFYACQKRSA-N
D015058,11080,C1=CC=C2C(=C1)C=CC=C2N=C=S,JBDOSUUXMYMWQH-UHFFFAOYSA-N
D004391,6468,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,JTJMJGYZQZDUJJ-UHFFFAOYSA-N
D016686,9415,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,QVCMHGGNRFRMAD-XFGHUUIASA-N
D014501,23989,[U],JFALSRSLKYAFGM-UHFFFAOYSA-N
D014051,11443,CC1=C(C=C(C=C1)N=C=O)N=C=O,DVKJHBMWWAPEIU-UHFFFAOYSA-N
D015759,6912226,CC(CCC(=O)O)CC(C)CC(C)C(=O)C=C(C(C)CC(C)CC=CC(C)C(C(C)C(CC1CCC(O1)(C)C2CCC(O2)(C)C(C)O)O)O)O,PGHMRUGBZOYCAA-ADZNBVRBSA-N
C004532,4650,C1=CC(=O)C=CC1=O,AZQWKYJCGOJGHM-UHFFFAOYSA-N
C013038,10787,C1=CC(=C(C=C1O)O)O,GGNQRNBDZQJCCN-UHFFFAOYSA-N
C031927,785,C1=CC(=CC=C1O)O,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
C034221,289,C1=CC=C(C(=C1)O)O,YCIMNLLNPGFGHC-UHFFFAOYSA-N
C065382,444036,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,WMWTYOKRWGGJOA-CENSZEJFSA-N
C057823,5152,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,GIIZNNXWQWCKIB-UHFFFAOYSA-N
D006246,3564,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,RERZNCLIYCABFS-UHFFFAOYSA-N
C039614,1795,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C,QDERNBXNXJCIQK-UHFFFAOYSA-N
D015766,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,HXHWSAZORRCQMX-UHFFFAOYSA-N
D008463,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,OPXLLQIJSORQAM-UHFFFAOYSA-N
C406525,5166,COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F,ZQUSFAUAYSEREK-UHFFFAOYSA-N
D015075,9955,C1=C2C(=NC(=N1)N)N=CN2,MWBWWFOAEOYUST-UHFFFAOYSA-N
C467566,134780,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,UVSMNLNDYGZFPF-UHFFFAOYSA-N
D002939,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,MYSWGUAQZAJSOK-UHFFFAOYSA-N
C022884,14257,CCCCCCCCCCC,RSJKGSCJYJTIGS-UHFFFAOYSA-N
C007076,638011,CC(=CCCC(=CC=O)C)C,WTEVQBCEXWBHNA-JXMROGBWSA-N
C032854,72429,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,GDBQQVLCIARPGH-ULQDDVLXSA-N
D006046,23985,[Au],PCHJSUWPFVWCPO-UHFFFAOYSA-N
C017185,68245,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],FFNDMZIBVDSQFI-UHFFFAOYSA-N
D002193,5944,CC12C3CCC(C1(C(=O)OC2=O)C)O3,DHZBEENLJMYSHQ-XCVPVQRUSA-N
C521792,5388065,COC1=CC=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC,GGFQQRXTLIJXNY-AATRIKPKSA-N
C039726,71300409,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)[O-])C.[Na+],ZISJLHQNEVGTIU-VSPVKKPCSA-M
C007836,637566,CC(=CCCC(=CCO)C)C,GLZPCOQZEFWAFX-JXMROGBWSA-N
D012451,5144,C=CCC1=CC2=C(C=C1)OCO2,ZMQAAUBTXCXRIC-UHFFFAOYSA-N
C004912,7500,CCC1=CC=CC=C1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N
C026385,8058,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N
D015101,7070,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,HUWXDEQWWKGHRV-UHFFFAOYSA-N
C482492,5388065,COC1=CC=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC,GGFQQRXTLIJXNY-AATRIKPKSA-N
D009665,275196,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,AKNNEGZIBPJZJG-MSOLQXFVSA-N
C408604,4712,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],BGIYKDUASORTBB-UHFFFAOYSA-N
C033643,13462,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],PIHGQKMEAMSUNA-UHFFFAOYSA-N
D010837,5284607,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,MBWXNTAXLNYFJB-NKFFZRIASA-N
D012642,26757,CC(CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N
C440850,5354004,COC1=CC(=C(C=C1)C=CC2=CC(=CC(=C2)OC)OC)OC,JDBCWSHYEQUBLW-AATRIKPKSA-N
C019357,119245,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,VNONINPVFQTJOC-ZGXDEBHDSA-N
C017461,16683880,[N+](=O)([O-])O[Pb]O[N+](=O)[O-],RLJMLMKIBZAXJO-UHFFFAOYSA-N
D005419,5280805,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,IKGXIBQEEMLURG-NVPNHPEKSA-N
C002714,4496,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3,GWUSZQUVEVMBPI-UHFFFAOYSA-N
D020927,6918081,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C.Cl,VPNGEIHDPSLNMU-MERQFXBCSA-N
D011739,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,WKSAUQYGYAYLPV-UHFFFAOYSA-N
C028610,10251,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,ZONYXWQDUYMKFB-UHFFFAOYSA-N
C007366,11254,C1C(O1)C2CO2,ZFIVKAOQEXOYFY-UHFFFAOYSA-N
C121565,9929138,CC1=CC=C(C=C1)C(=O)CN2C3=C(CCCC3)SC2=N.Br,HAGVCKULCLQGRF-UHFFFAOYSA-N
D008558,460612,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,SGDBTWWWUNNDEQ-LBPRGKRZSA-N
